n=;92;Dir=;DO;T0=;14.87;P0=;80.44;T1=;66.88;P1=;23.66;a=; 3.1;420611390
n=;93;Dir=;UP;T0=;14.86;P0=;80.41;T1=;66.90;P1=;22.81;a=; 3.1;425168208
n=;94;Dir=;DO;T0=;14.88;P0=;80.39;T1=;66.92;P1=;24.20;a=; 3.1;429724536
n=;95;Dir=;UP;T0=;14.88;P0=;80.89;T1=;66.94;P1=;24.86;a=; 3.1;434281293
n=;96;Dir=;DO;T0=;14.90;P0=;80.03;T1=;66.95;P1=;23.60;a=; 2.6;438837679
n=;97;Dir=;UP;T0=;14.89;P0=;80.99;T1=;66.95;P1=;23.28;a=; 2.6;443393549
n=;98;Dir=;DO;T0=;14.91;P0=;80.50;T1=;66.94;P1=;23.81;a=; 3.1;447949960
n=;99;Dir=;UP;T0=;14.89;P0=;80.55;T1=;66.94;P1=;24.12;a=; 3.1;452506073
n=;100;Dir=;DO;T0=;14.91;P0=;80.58;T1=;66.94;P1=;23.38;a=; 3.1;457062916
n=;101;Dir=;UP;T0=;14.89;P0=;80.94;T1=;66.94;P1=;23.16;a=; 3.1;461619201
n=;102;Dir=;DO;T0=;14.91;P0=;80.90;T1=;66.94;P1=;23.91;a=; 3.1;466175991
n=;103;Dir=;UP;T0=;14.89;P0=;80.90;T1=;66.94;P1=;23.51;a=; 5.3;470732391
n=;104;Dir=;DO;T0=;14.90;P0=;80.62;T1=;66.94;P1=;23.88;a=; 3.1;475289191
n=;105;Dir=;UP;T0=;14.89;P0=;80.69;T1=;66.94;P1=;23.70;a=; 3.1;479845545
n=;106;Dir=;DO;T0=;14.91;P0=;80.31;T1=;66.94;P1=;23.39;a=; 3.1;484401922
n=;107;Dir=;UP;T0=;14.89;P0=;80.78;T1=;66.94;P1=;22.85;a=; 3.1;488958475
n=;108;Dir=;DO;T0=;14.90;P0=;81.18;T1=;66.93;P1=;23.88;a=; 2.6;493515280
n=;109;Dir=;UP;T0=;14.88;P0=;80.80;T1=;66.93;P1=;23.34;a=; 3.1;498072019
n=;110;Dir=;DO;T0=;14.90;P0=;81.21;T1=;66.93;P1=;23.28;a=; 2.6;502628742
n=;111;Dir=;UP;T0=;14.88;P0=;81.09;T1=;66.93;P1=;23.68;a=; 3.1;507185071
n=;112;Dir=;DO;T0=;14.89;P0=;81.25;T1=;66.93;P1=;23.64;a=;68.9;511741899
n=;113;Dir=;UP;T0=;14.88;P0=;81.01;T1=;66.92;P1=;23.58;a=; 3.1;516299135
n=;114;Dir=;DO;T0=;14.89;P0=;81.14;T1=;66.92;P1=;23.58;a=; 3.1;520855773
n=;115;Dir=;UP;T0=;14.87;P0=;81.30;T1=;66.92;P1=;23.09;a=; 3.1;525412439
