1 007	033	+027.983	-01695 -01635 +02192	-000.529 -000.510 +000.685 +001.005
0 007	059	+025.110	+00005 +02362 +02406	+000.001 +000.738 +000.751 +001.053
1 007	033	+027.983	-01695 -01635 +02192	-000.529 -000.510 +000.685 +001.005
0 007	059	+025.110	+00005 +02362 +02406	+000.001 +000.738 +000.751 +001.053
1 007	033	+027.983	-01695 -01635 +02192	-000.529 -000.510 +000.685 +001.005
0 007	058	+025.220	+00005 +02362 +02406	+000.001 +000.738 +000.751 +001.053
1 007	033	+027.983	-01695 -01635 +02192	-000.529 -000.510 +000.685 +001.005
0 007	058	+025.220	+00005 +02361 +02406	+000.001 +000.737 +000.751 +001.053
1 007	032	+028.093	-01695 -01635 +02192	-000.529 -000.510 +000.685 +001.005
0 007	061	+024.889	+00005 +02361 +02406	+000.001 +000.737 +000.751 +001.053
1 007	032	+028.093	-01695 -01635 +02191	-000.529 -000.510 +000.684 +001.005
0 007	059	+025.110	+00005 +02361 +02406	+000.001 +000.737 +000.751 +001.053
1 007	032	+028.093	-01694 -01635 +02192	-000.529 -000.510 +000.685 +001.005
0 007	059	+025.110	+00005 +02362 +02406	+000.001 +000.738 +000.751 +001.053
1 007	034	+027.872	-01695 -01635 +02192	-000.529 -000.510 +000.685 +001.005
0 007	059	+025.110	+00005 +02361 +02406	+000.001 +000.737 +000.751 +001.053
1 007	033	+027.983	-01695 -01635 +02191	-000.529 -000.510 +000.684 +001.005
0 007	058	+025.220	+00005 +02362 +02406	+000.001 +000.738 +000.751 +001.053
1 007	032	+028.093	-01694 -01635 +02191	-000.529 -000.510 +000.684 +001.005
0 007	061	+024.889	+00005 +02361 +02407	+000.001 +000.737 +000.752 +001.053
1 007	032	+028.093	-01695 -01635 +02192	-000.529 -000.510 +000.685 +001.005
0 007	060	+025.000	+00005 +02362 +02406	+000.001 +000.738 +000.751 +001.053
1 007	032	+028.093	-01694 -01635 +02192	-000.529 -000.510 +000.685 +001.005
0 007	059	+025.110	+00005 +02362 +02406	+000.001 +000.738 +000.751 +001.053
1 007	033	+027.983	-01695 -01635 +02191	-000.529 -000.510 +000.684 +001.005
0 007	059	+025.110	+00005 +02362 +02406	+000.001 +000.738 +000.751 +001.053
1 007	033	+027.983	-01694 -01635 +02192	-000.529 -000.510 +000.685 +001.005
0 007	059	+025.110	+00005 +02362 +02406	+000.001 +000.738 +000.751 +001.053
1 007	032	+028.093	-01695 -01634 +02191	-000.529 -000.510 +000.684 +001.005
0 007	061	+024.889	+00005 +02361 +02407	+000.001 +000.737 +000.752 +001.053
1 007	033	+027.983	-01695 -01635 +02191	-000.529 -000.510 +000.684 +001.005
0 007	061	+024.889	+00005 +02361 +02406	+000.001 +000.737 +000.751 +001.053
1 007	034	+027.872	-01694 -01635 +02191	-000.529 -000.510 +000.684 +001.005
0 007	059	+025.110	+00005 +02361 +02406	+000.001 +000.737 +000.751 +001.053
1 007	034	+027.872	-01695 -01635 +02191	-000.529 -000.510 +000.684 +001.005
0 007	059	+025.110	+00005 +02362 +02406	+000.001 +000.738 +000.751 +001.053
1 007	034	+027.872	-01694 -01635 +02191	-000.529 -000.510 +000.684 +001.005
0 007	061	+024.889	+00005 +02361 +02406	+000.001 +000.737 +000.751 +001.053
1 007	036	+027.651	-01695 -01635 +02192	-000.529 -000.510 +000.685 +001.005
0 007	060	+025.000	+00005 +02362 +02406	+000.001 +000.738 +000.751 +001.053
1 007	032	+028.093	-01695 -01635 +02192	-000.529 -000.510 +000.685 +001.005
0 007	060	+025.000	+00005 +02362 +02407	+000.001 +000.738 +000.752 +001.053
1 007	033	+027.983	-01694 -01635 +02192	-000.529 -000.510 +000.685 +001.005
0 007	060	+025.000	+00005 +02362 +02406	+000.001 +000.738 +000.751 +001.053
1 007	035	+027.762	-01695 -01635 +02192	-000.529 -000.510 +000.685 +001.005
0 007	061	+024.889	+00005 +02362 +02406	+000.001 +000.738 +000.751 +001.053
1 007	036	+027.651	-01695 -01635 +02192	-000.529 -000.510 +000.685 +001.005
0 007	059	+025.110	+00005 +02362 +02406	+000.001 +000.738 +000.751 +001.053
1 007	034	+027.872	-01695 -01635 +02192	-000.529 -000.510 +000.685 +001.005
0 007	060	+025.000	+00005 +02361 +02406	+000.001 +000.737 +000.751 +001.053
1 007	034	+027.872	-01694 -01635 +02192	-000.529 -000.510 +000.685 +001.005
0 007	062	+024.779	+00005 +02361 +02407	+000.001 +000.737 +000.752 +001.053
1 007	034	+027.872	-01695 -01635 +02192	-000.529 -000.510 +000.685 +001.005
0 007	062	+024.779	+00005 +02362 +02406	+000.001 +000.738 +000.751 +001.053
1 007	033	+027.983	-01695 -01635 +02191	-000.529 -000.510 +000.684 +001.005
0 007	060	+025.000	+00005 +02361 +02406	+000.001 +000.737 +000.751 +001.053
1 007	032	+028.093	-01695 -01635 +02192	-000.529 -000.510 +000.685 +001.005
0 007	062	+024.779	+00005 +02361 +02406	+000.001 +000.737 +000.751 +001.053
1 007	034	+027.872	-01695 -01635 +02192	-000.529 -000.510 +000.685 +001.005
0 007	060	+025.000	+00005 +02362 +02407	+000.001 +000.738 +000.752 +001.053
1 007	035	+027.762	-01695 -01635 +02192	-000.529 -000.510 +000.685 +001.005
0 007	061	+024.889	+00005 +02362 +02407	+000.001 +000.738 +000.752 +001.053
1 007	034	+027.872	-01695 -01635 +02192	-000.529 -000.510 +000.685 +001.005
0 007	061	+024.889	+00005 +02361 +02407	+000.001 +000.737 +000.752 +001.053
1 007	034	+027.872	-01695 -01635 +02192	-000.529 -000.510 +000.685 +001.005
